BDD_ID,EVENT_ID,EVENT_TYPE,y,event_time_ms,anchor_source,info_json_path,label_ts_ms,row_idx,target_idx,video_path,BDD_START,CONFLICT_TYPE_NORM,conflict_group_target_idx,conflict17_target_idx,split
03d767c8-2eca52c7,1,2,1,1504000193245.0,BDD_START,data/bddk100_info/100k/train/03d767c8-2eca52c7.json,10000,0,1,data/annotated_videos_only/03d767c8-2eca52c7.mov,13.14,,-100,-100,val
02ef72c1-950d6851,2,2,1,1503717598841.0,BDD_START,data/bddk100_info/100k/train/02ef72c1-950d6851.json,10000,1,1,data/annotated_videos_only/02ef72c1-950d6851.mov,3.25,,-100,-100,test
04200e90-4a4c631e,3,2,1,1507227512599.0,BDD_START,data/bddk100_info/100k/train/04200e90-4a4c631e.json,10000,2,1,data/annotated_videos_only/04200e90-4a4c631e.mov,17.61,,-100,-100,train
04a8e132-4f929465,4,1,0,1504305701255.0,BDD_START,data/bddk100_info/100k/train/04a8e132-4f929465.json,10000,3,0,data/annotated_videos_only/04a8e132-4f929465.mov,16.12,S,1,11,val
0549f27d-2e4ab1af,5,2,1,1507457042618.0,BDD_START,data/bddk100_info/100k/train/0549f27d-2e4ab1af.json,10000,4,1,data/annotated_videos_only/0549f27d-2e4ab1af.mov,13.46,,-100,-100,test
03db1bc2-833ca88c,6,4,3,1489788914688.0,BDD_START,data/bddk100_info/100k/train/03db1bc2-833ca88c.json,10000,5,3,data/annotated_videos_only/03db1bc2-833ca88c.mov,40.14,,-100,-100,train
04904d8d-0ab5c90a,7,2,1,1489876661607.0,BDD_START,data/bddk100_info/100k/train/04904d8d-0ab5c90a.json,10000,6,1,data/annotated_videos_only/04904d8d-0ab5c90a.mov,10.92,,-100,-100,train
04bfcebe-f0908883,8,4,3,1504242785723.0,BDD_START,data/bddk100_info/100k/train/04bfcebe-f0908883.json,10000,7,3,data/annotated_videos_only/04bfcebe-f0908883.mov,34.86,,-100,-100,train
04a45d6d-2abd9c7b,9,3,2,1490545893288.0,BDD_START,data/bddk100_info/100k/train/04a45d6d-2abd9c7b.json,10000,8,2,data/annotated_videos_only/04a45d6d-2abd9c7b.mov,18.16,,-100,-100,train
03b8bba0-3aa073d8,10,1,0,1507500994275.0,BDD_START,data/bddk100_info/100k/train/03b8bba0-3aa073d8.json,10000,9,0,data/annotated_videos_only/03b8bba0-3aa073d8.mov,16.95,Q,0,0,test
02ef6aa4-de5825cb,11,1,0,1507318479246.0,BDD_START,data/bddk100_info/100k/train/02ef6aa4-de5825cb.json,10000,10,0,data/annotated_videos_only/02ef6aa4-de5825cb.mov,17.92,O,1,8,train
