BDD_ID,EVENT_ID,EVENT_TYPE,y,event_time_ms,anchor_source,info_json_path,label_ts_ms
03d767c8-2eca52c7,1,2,1,1504000193245.0,BDD_START,data/bddk100_info/100k/train/03d767c8-2eca52c7.json,10000
02ef72c1-950d6851,2,2,1,1503717598841.0,BDD_START,data/bddk100_info/100k/train/02ef72c1-950d6851.json,10000
04200e90-4a4c631e,3,2,1,1507227512599.0,BDD_START,data/bddk100_info/100k/train/04200e90-4a4c631e.json,10000
04a8e132-4f929465,4,1,0,1504305701255.0,BDD_START,data/bddk100_info/100k/train/04a8e132-4f929465.json,10000
0549f27d-2e4ab1af,5,2,1,1507457042618.0,BDD_START,data/bddk100_info/100k/train/0549f27d-2e4ab1af.json,10000
03db1bc2-833ca88c,6,4,3,1489788914688.0,BDD_START,data/bddk100_info/100k/train/03db1bc2-833ca88c.json,10000
04904d8d-0ab5c90a,7,2,1,1489876661607.0,BDD_START,data/bddk100_info/100k/train/04904d8d-0ab5c90a.json,10000
04bfcebe-f0908883,8,4,3,1504242785723.0,BDD_START,data/bddk100_info/100k/train/04bfcebe-f0908883.json,10000
04a45d6d-2abd9c7b,9,3,2,1490545893288.0,BDD_START,data/bddk100_info/100k/train/04a45d6d-2abd9c7b.json,10000
03b8bba0-3aa073d8,10,1,0,1507500994275.0,BDD_START,data/bddk100_info/100k/train/03b8bba0-3aa073d8.json,10000
02ef6aa4-de5825cb,11,1,0,1507318479246.0,BDD_START,data/bddk100_info/100k/train/02ef6aa4-de5825cb.json,10000
03375ea2-17ddd6fc,12,3,2,1506720722532.0,BDD_START,data/bddk100_info/100k/train/03375ea2-17ddd6fc.json,10000
0386df8d-bf0099c3,13,4,3,1504294701254.0,BDD_START,data/bddk100_info/100k/train/0386df8d-bf0099c3.json,10000
0384ec78-864ea363,14,1,0,1505309622058.0,BDD_START,data/bddk100_info/100k/train/0384ec78-864ea363.json,10000
03866c0e-2a861ef2,15,4,3,1504378402649.0,BDD_START,data/bddk100_info/100k/train/03866c0e-2a861ef2.json,10000
0341c57c-4e45bd8e,16,4,3,1507004265118.0,BDD_START,data/bddk100_info/100k/train/0341c57c-4e45bd8e.json,10000
03112119-0aafd3ad,17,2,1,1504030325451.0,BDD_START,data/bddk100_info/100k/train/03112119-0aafd3ad.json,10000
035f255b-5fce8975,18,1,0,1507210467759.0,BDD_START,data/bddk100_info/100k/train/035f255b-5fce8975.json,10000
044aa15f-c7ef9b3a,19,3,2,1503708174051.0,BDD_START,data/bddk100_info/100k/train/044aa15f-c7ef9b3a.json,10000
049963e5-b1bab2f5,20,2,1,1505312718952.0,BDD_START,data/bddk100_info/100k/train/049963e5-b1bab2f5.json,10000
04bc4542-61c650d3,21,4,3,1507429191173.0,BDD_START,data/bddk100_info/100k/train/04bc4542-61c650d3.json,10000
02d5e1be-7ec9c0bd,22,1,0,1507344948851.0,BDD_START,data/bddk100_info/100k/train/02d5e1be-7ec9c0bd.json,10000
03375ea2-c96d61a8,23,4,3,1506745207252.0,BDD_START,data/bddk100_info/100k/train/03375ea2-c96d61a8.json,10000
02d5e1be-bd9bd999,24,4,3,1507347128471.0,BDD_START,data/bddk100_info/100k/train/02d5e1be-bd9bd999.json,10000
043026cb-f72901db,25,3,2,1490589204833.0,BDD_START,data/bddk100_info/100k/train/043026cb-f72901db.json,10000
040dbaad-6a7b5fb7,26,4,3,1507328144255.0,BDD_START,data/bddk100_info/100k/train/040dbaad-6a7b5fb7.json,10000
0434fa79-a5fc44cc,27,1,0,1503889649880.0,BDD_START,data/bddk100_info/100k/train/0434fa79-a5fc44cc.json,10000
0518ba57-72c1da70,28,1,0,1504229276592.0,BDD_START,data/bddk100_info/100k/train/0518ba57-72c1da70.json,10000
0374204b-40287a38,29,4,3,1506998194498.0,BDD_START,data/bddk100_info/100k/train/0374204b-40287a38.json,10000
0445a23c-59aa5b31,30,1,0,1507230193905.0,BDD_START,data/bddk100_info/100k/train/0445a23c-59aa5b31.json,10000
04ede4bd-c03f27b1,31,2,1,1490469329518.0,BDD_START,data/bddk100_info/100k/train/04ede4bd-c03f27b1.json,10000
03112119-f1d28776,32,1,0,1504031642985.0,BDD_START,data/bddk100_info/100k/train/03112119-f1d28776.json,10000
0423e13f-e98cd41d,33,2,1,1504206471672.0,BDD_START,data/bddk100_info/100k/train/0423e13f-e98cd41d.json,10000
0386df8d-be9fc817,34,4,3,1504291914771.0,BDD_START,data/bddk100_info/100k/train/0386df8d-be9fc817.json,10000
